,camera_id,amazon_url,rakuten_url
49,50,https://www.amazon.co.jp/Canon-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-PowerShot-%E5%85%89%E5%AD%A642%E5%80%8D%E3%82%BA%E3%83%BC%E3%83%A0-PSSX420IS/dp/B01BWJVB14,https://search.rakuten.co.jp/search/mall/PowerShot+SX420+IS/
50,51,https://www.amazon.co.jp/CASIO-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-EX-ZR3100WE-%E8%87%AA%E5%88%86%E6%92%AE%E3%82%8A%E3%83%81%E3%83%AB%E3%83%88%E6%B6%B2%E6%99%B6-%E3%82%B9%E3%83%9E%E3%83%9B%E3%81%B8%E8%87%AA%E5%8B%95%E9%80%81%E4%BF%A1/dp/B01C6Q4UOM/ref=sr_1_1?ie=UTF8&qid=1546649030&sr=8-1&keywords=HIGH+SPEED+EXILIM+EX-ZR3100,https://search.rakuten.co.jp/search/mall/HIGH+SPEED+EXILIM+EX-ZR3100/
51,52,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC-SONY-DSC-RX10M3-F2-4-4-0-Cyber-shot/dp/B01E35B0R4,https://search.rakuten.co.jp/search/mall/サイバーショット+DSC-RX10M3/
52,53,https://www.amazon.co.jp/SONY-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-Cyber-shot-4240%E4%B8%87%E7%94%BB%E7%B4%A0-DSC-RX1RM2/dp/B017LNEBR6,https://search.rakuten.co.jp/search/mall/サイバーショット+DSC-RX1RM2/
53,54,https://www.amazon.co.jp/%E3%82%AD%E3%83%A4%E3%83%8E%E3%83%B3-PSSX430IS-Canon-%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-%E5%85%89%E5%AD%A645%E5%80%8D%E3%82%BA%E3%83%BC%E3%83%A0/dp/B06X3WBC8L,https://search.rakuten.co.jp/search/mall/PowerShot+SX430+IS/
54,55,https://www.amazon.co.jp/%E3%82%AB%E3%82%B7%E3%82%AA%E8%A8%88%E7%AE%97%E6%A9%9F-EX-ZS260SR-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-EXILIM-EX-ZS260/dp/B07B6LWPTC,https://search.rakuten.co.jp/search/mall/EXILIM+EX-ZS260/
55,56,https://www.amazon.co.jp/Canon-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-PowerShot-%E5%85%89%E5%AD%A64-2%E5%80%8D%E3%82%BA%E3%83%BC%E3%83%A0-1-0%E5%9E%8B%E3%82%BB%E3%83%B3%E3%82%B5%E3%83%BC/dp/B016JZFXWO,https://search.rakuten.co.jp/search/mall/PowerShot+G5+X/
56,57,https://www.amazon.co.jp/CASIO-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-EX-ZR1800GD-%E8%87%AA%E5%88%86%E6%92%AE%E3%82%8A%E3%83%BB%E3%81%BF%E3%82%93%E3%81%AA%E6%92%AE%E3%82%8A%E3%81%8C%E7%B0%A1%E5%8D%98-%E3%82%B7%E3%83%A3%E3%83%83%E3%82%BF%E3%83%BC%E3%82%92%E6%8A%BC%E3%81%99%E3%81%A0%E3%81%91%E3%81%A7%E3%82%AD%E3%83%AC%E3%82%A4%E3%81%AB%E6%92%AE%E3%82%8C%E3%82%8B/dp/B01N6Z0V26,https://search.rakuten.co.jp/search/mall/HIGH+SPEED+EXILIM+EX-ZR1800/
57,58,https://www.amazon.co.jp/OLYMPUS-%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%91%E3%82%B9-%E5%B7%A5%E4%BA%8B%E5%86%99%E7%9C%9F%E7%94%A8%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9-TG-5%E5%B7%A5%E4%B8%80%E9%83%8E-%E8%80%90%E8%A1%9D%E6%92%83/dp/B0771M2Q3D,https://search.rakuten.co.jp/search/mall/TG-5+工一郎/
58,59,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC-%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%B9%E3%83%81%E3%83%AB%E3%82%AB%E3%83%A1%E3%83%A9%E3%80%8CDSC-RX100M5%E3%80%8DSONY-Cyber-shot-%E3%82%B5%E3%82%A4%E3%83%90%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88-RX100V-DSC-RX100M5/dp/B01M4J4R8S,https://search.rakuten.co.jp/search/mall/サイバーショット+DSC-RX100M5/
